date,close,high,low,open,volume
2000-01-03,0.8377242088317871,0.8419336497619939,0.7610145719544696,0.7848695360561968,535796800
2000-01-04,0.7670958042144775,0.8279015928210399,0.7572730409015207,0.8101277229708739,512377600
2000-01-05,0.7783207297325134,0.8274337394232996,0.7708373511832788,0.7764498726051713,778321600
2000-01-06,0.7109662294387817,0.8007726803739019,0.7109662294387817,0.7942247044568762,767972800
2000-01-07,0.7446438074111938,0.7558697488561912,0.7147086463463203,0.7221920244414605,460734400
2000-01-10,0.7315472364425659,0.7652241197076969,0.7090954480242886,0.7633532622398641,505064000
2000-01-11,0.6941273808479309,0.7437080936174768,0.6772889753065402,0.7179823340961002,441548800
2000-01-12,0.6524989008903503,0.7147086570295117,0.6473532071932467,0.7109660936237121,976068800
2000-01-13,0.7240628600120544,0.7390304661140493,0.6922568406806966,0.7071070904310869,1032684800
2000-01-14,0.7516595125198364,0.7652239378703952,0.7437084076410456,0.7483855252191501,390376000
2000-01-18,0.7778531908988953,0.7932893261917578,0.7516596876658062,0.755869928801325,459177600
2000-01-19,0.7974985837936401,0.8138693207187155,0.7736436189290025,0.7904820826301999,597643200
2000-01-20,0.8494178056716919,0.9092881250039941,0.8494178056716919,0.8643853605247033,1831132800
2000-01-21,0.833047091960907,0.8550303996386953,0.8246274606898092,0.8550303996386953,495924800
2000-01-24,0.7951599359512329,0.8438043630233935,0.7867402556652854,0.81153062057158,440876800
2000-01-25,0.8400624394416809,0.8466113111755815,0.7661599392132898,0.7858046559306395,497145600
2000-01-26,0.8246273398399353,0.8545625476401434,0.8213534028686054,0.8232242097207582,367158400
2000-01-27,0.8232242465019226,0.8456760780162781,0.8007724649476947,0.8143368893745465,340144000
2000-01-28,0.760546863079071,0.8297723238442872,0.7530634845251307,0.8096599227608742,423348800
2000-01-31,0.7764498591423035,0.7773853126698215,0.7072244495810509,0.7558697816166402,701680000
2000-02-01,0.7502564191818237,0.7858050049074052,0.7483856119019977,0.7783207765853667,318035200
2000-02-02,0.7394981980323792,0.7642885659086354,0.7259337221613933,0.7539989267958325,464195200
2000-02-03,0.773175835609436,0.780192335806366,0.750256277494036,0.7507240042057295,475193600
2000-02-04,0.8082566857337952,0.8232242402284533,0.7755143671597118,0.7778529507517558,425320000
2000-02-07,0.8536271452903748,0.8550303254535702,0.7928213725885681,0.8082567041046165,441067200
2000-02-08,0.8597085475921631,0.8690626851122804,0.832579590346212,0.8531596721092755,408643200
2000-02-09,0.8428691029548645,0.8765468326216084,0.8414660224258554,0.8540950461505381,299364800
2000-02-10,0.8494178056716919,0.8522240660812305,0.8232242599380877,0.8447406383756232,302982400
2000-02-11,0.8138694763183594,0.8540951358384814,0.8101277613142918,0.8503534208344139,212251200
2000-02-14,0.8667237162590027,0.8671914428846027,0.8129336055513364,0.8180784485525827,367539200
2000-02-15,0.8905788064002991,0.8975953063532028,0.8620467785375268,0.8625145052329531,485744000
2000-02-16,0.854094922542572,0.8840309332657064,0.8391273668221861,0.8812238733314441,378246400
2000-02-17,0.8597085475921631,0.8643856163522218,0.8466117958292506,0.8620470819721924,289497600
2000-02-18,0.8325792551040649,0.8634498149597651,0.8297721456718357,0.8578372947394892,233441600
2000-02-22,0.8517563939094543,0.875143630771203,0.7984339455042565,0.8241597661638117,422296000
2000-02-23,0.8699978590011597,0.8905788334270135,0.8307076163499678,0.8474295706407518,473099200
2000-02-24,0.8621634244918823,0.8915144034627622,0.8363210957438936,0.877949927428413,376432000
2000-02-25,0.8260306715965271,0.8756114617724724,0.8241598642877027,0.8592407237570281,249144000
2000-02-28,0.8475466966629028,0.8606434414263395,0.8110627720730131,0.8241595168364498,328328000
2000-02-29,0.8578375577926636,0.8774822838698367,0.8424014737694188,0.849885602413324,368961600
2000-03-01,0.9752398133277893,0.9883365641980858,0.8868373444749644,0.8873050713031494,1077003200
2000-03-02,0.9130309224128723,0.9574660739218681,0.9032081585998288,0.9504503707541547,311259200
2000-03-03,0.957933783531189,0.9596881840958758,0.8980634403970273,0.9345465388694946,323366400
2000-03-06,0.9406276941299438,0.9663534735738843,0.9354819986715516,0.9429662287625162,210560000
2000-03-07,0.919579029083252,0.9537244941151333,0.906482275263218,0.9462402636568494,273011200
2000-03-08,0.9130309224128723,0.9275308549778206,0.8873051453535105,0.9195788987133664,271230400
