date,close,high,low,open,volume
2006-04-10,544.1599731445312,548.0,541.3599853515625,546.0,484738
2006-04-11,545.5999755859375,547.1199951171875,538.4000244140625,546.5599975585938,162138
2006-04-12,542.719970703125,550.47998046875,542.47998046875,545.760009765625,156038
2006-04-13,550.5599975585938,551.9199829101562,539.2000122070312,540.0,70088
2006-04-17,558.3200073242188,559.2000122070312,549.4400024414062,553.5999755859375,114713
2006-04-18,566.0,568.4000244140625,556.5599975585938,560.7999877929688,115338
2006-04-19,574.7999877929688,577.280029296875,563.9199829101562,564.6400146484375,98725
2006-04-20,568.719970703125,577.280029296875,564.0800170898438,575.3599853515625,105400
2006-04-21,582.47998046875,585.8400268554688,566.4000244140625,567.1199951171875,133225
2006-04-24,568.0800170898438,579.5999755859375,566.3200073242188,571.2000122070312,130288
2006-04-25,565.1199951171875,574.47998046875,556.9600219726562,573.4400024414062,356738
2006-04-26,556.3200073242188,566.7999877929688,555.5999755859375,563.52001953125,112400
2006-04-27,549.5999755859375,556.6400146484375,548.5599975585938,552.7999877929688,79450
2006-04-28,556.9600219726562,564.0,551.9199829101562,554.0800170898438,108513
2006-05-01,572.0,573.2000122070312,560.0,561.2000122070312,69438
2006-05-02,578.719970703125,581.52001953125,570.719970703125,574.719970703125,108875
2006-05-03,561.760009765625,579.8400268554688,560.0,579.8400268554688,126875
2006-05-04,546.5599975585938,558.1599731445312,538.239990234375,554.9600219726562,194688
2006-05-05,544.0,547.760009765625,541.4400024414062,546.4000244140625,83900
2006-05-08,543.0399780273438,543.9199829101562,530.4000244140625,537.0399780273438,164038
2006-05-09,547.2000122070312,553.4400024414062,542.0800170898438,543.9199829101562,97875
2006-05-10,558.1599731445312,558.1599731445312,539.8400268554688,546.5599975585938,88063
2006-05-11,562.4000244140625,568.4000244140625,559.3599853515625,568.0,129438
2006-05-12,552.8800048828125,563.52001953125,552.3200073242188,563.52001953125,75950
2006-05-15,533.0399780273438,542.1599731445312,531.5999755859375,539.760009765625,83738
